"ref_pessoa";"ref_contrato";"frequencia";"percentual_conclusao";"inadimplente";"valor";"evasao"
188422;114726;84.62;37.0;0;0.00;0
190094;111630;90.0;81.0;0;0.00;0
182418;103336;73.08;90.0;0;0.00;0
185910;110980;100.0;87.0;0;-32.91;0
184093;109042;75.68;61.0;1;221.77;0
191219;114042;90.0;30.0;0;0.00;0
193337;116363;100.0;18.0;0;0.00;0
184246;104676;100.0;90.0;0;0.00;0
189704;114892;72.73;30.0;0;-1.47;0
187227;108835;94.74;73.0;0;0.00;0
174812;105587;41.67;81.0;1;140.24;0
190239;111810;92.31;52.0;0;0.00;0
184078;104234;90.2;88.0;0;0.00;0
101118;116510;90.91;20.0;0;-1306.80;0
188999;110517;81.82;51.0;0;0.00;0
183492;103931;100.0;90.0;0;0.00;0
178867;102563;58.33;75.0;1;5882.22;0
192889;115070;100.0;30.0;0;0.20;0
181564;109137;75.0;56.0;0;0.00;0
195128;118011;100.0;10.0;0;0.00;0
185602;106177;90.0;70.0;0;-5458.61;0
184208;104538;93.33;87.0;0;0.00;0
191444;113715;84.62;30.0;0;0.00;0
183087;106038;100.0;73.0;0;0.00;0
185148;105925;92.86;73.0;0;0.00;0
189571;117814;100.0;10.0;0;0.00;0
187706;109142;100.0;64.0;0;0.00;0
187695;109017;100.0;61.0;1;7352.40;0
186221;111773;75.0;55.0;0;0.00;0
193080;116459;100.0;22.0;0;0.00;0
190777;112019;76.92;30.0;0;0.00;0
184164;104478;93.22;97.0;0;0.00;0
101249;115044;83.33;10.0;1;257.54;0
191458;114761;90.91;31.0;0;0.00;0
166857;118276;100.0;10.0;0;0.01;0
167691;105630;0.0;87.0;0;-1571.40;0
181214;102179;97.44;96.0;0;0.00;0
186457;106328;58.33;64.0;1;20.00;0
183917;104206;100.0;90.0;0;0.00;0
181274;111037;100.0;56.0;1;455.32;0
186920;110712;100.0;73.0;0;0.00;0
192386;114689;80.0;37.0;0;0.00;0
186716;112574;86.96;62.0;0;0.00;0
195252;118189;60.0;10.0;0;0.00;0
183908;104391;100.0;90.0;0;-6546.36;0
188461;110925;100.0;75.0;0;0.00;0
193205;116954;91.67;9.0;1;3132.94;0
185875;105988;100.0;77.0;0;0.00;0
185597;116599;92.31;10.0;0;0.03;0
188006;109301;88.57;62.0;0;0.00;0
181768;102494;60.0;73.0;0;0.00;0
182848;111274;70.0;30.0;0;0.00;0
192769;114951;100.0;30.0;1;9682.44;0
